module,project_count,csharp_files,review_depth,reviewed_scope,findings,boundary_recommendation,module_directory,remaining
ImportExport,2,23,全局结构扫描＋所列调用链/实现抽查,任务 SQL、领取、租户切换、文件访问,R02/R03/R17/R18,统一编排与任务恢复；各业务模块保留导入规则,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.ImportExport,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Reporting,2,57,全局结构扫描＋所列调用链/实现抽查,数据访问依赖、导出任务、收集/渲染/文件调用,R02/R03/R17/R18,保留报表定义与执行；提供程序适配移出业务核心,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Reporting,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Printing,2,22,全局结构扫描＋所列调用链/实现抽查,布局保存过滤、HTML 渲染与 Vue 预览链,R07/R13,保留打印模板；明确不可信布局和预览隔离边界,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Printing,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Ai,2,53,全局结构扫描＋所列调用链/实现抽查,会话、流式响应、配额、取消、模型配置 SQL,R09/R10/R11/R13/R14/R16,保留 AI 编排；分清提供程序、用量和生成执行职责,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Ai,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Payments,2,50,全局结构扫描＋所列调用链/实现抽查,订单/退款编号、外部调用事务、支付回调关联,R04/R05/R06/R13/R18,保留支付聚合；集中维护幂等和状态转换不变量,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Payments,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
GoView,2,18,全局结构扫描＋所列调用链/实现抽查,模块依赖、项目访问及持久化路径抽查,R13,保留交互式可视化；与 Reporting 划清定义和数据访问职责,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.GoView,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
K3Cloud,2,26,全局结构扫描＋所列调用链/实现抽查,创建/重试事务与 ERP 外部调用,R05/R13,作为外部 ERP 适配边界保留；避免承载本地业务所有权,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.K3Cloud,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Ocr,2,27,全局结构扫描＋所列调用链/实现抽查,识别事务、Files 合同与提供程序调用,R05/R13/R18,保留识别任务边界；缩短事务及明确文件作用域,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Ocr,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Settings,2,61,全局结构扫描＋所列调用链/实现抽查,诊断策略管理、提交与缓存失效顺序,—,保留配置治理；本轮未验证多实例缓存传播,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Settings,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
CodeGeneration,1,45,全局结构扫描＋所列调用链/实现抽查,生成/应用控制结构及代码搜索,R18,保留开发工具边界；生成制品及契约漂移需收敛,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.CodeGeneration,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
SerialNumbers,2,20,全局结构扫描＋所列调用链/实现抽查,Contracts、模块依赖及 DataApproval 接合,R18,序号规则与结果归本模块；勿把规则迁入审批引擎,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.SerialNumbers,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
ObservabilityAdmin,1,22,全局结构扫描＋所列调用链/实现抽查,日志文件控制面与读取边界,—,保留运维查询边界；不可把审计写入职责迁入此处,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.ObservabilityAdmin,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Workflow,2,101,全局结构扫描＋所列调用链/实现抽查,模块注册、审批集成、表单附件前后端链,R15/R18,保留流程运行时；业务审批结果由所属模块应用,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Workflow,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
DataApproval,2,31,全局结构扫描＋所列调用链/实现抽查,申请服务、业务应用端口及依赖方向,R18,保留审批应用编排；明确 Workflow/SerialNumbers 合同方向,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.DataApproval,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Mqtt,1,20,全局结构扫描＋所列调用链/实现抽查,发布流程、请求校验和幂等比较,R12,保留受控消息接入；与 Messaging 的可靠业务事件语义分开,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Mqtt,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
Cryptography,1,17,全局结构扫描＋所列调用链/实现抽查,模块依赖、密钥控制及调用结构抽查,—,保留密钥与密码操作边界；本轮未做密码学实现认证,G:/wwwroot/github_fork/Full.NET/src/Modules/Full.NET.Modules.Cryptography,其余用例未逐行人工审查；双库集成、真实浏览器、容量与故障注入未执行
